,semester,college,department,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer, type,type
38,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910041,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,8,M12-,0,2,宋易哲,,Required
39,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910042,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,8,M12-,0,2,林俊成,,Required
40,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910043,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,8,M12-,0,2,孔健君,,Required
41,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910044,SESE00025,,"Tutor Guidance(5)
",導師輔導(5),Unlimited,5,M12-,0,2,孔健君,,Required
42,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910045,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,14,M12-,0,2,翁旭谷,,Required
43,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910046,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,22,M12-,0,2,賴泰宏,,Required
44,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910047,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,13,M12-,0,2,林明憲,,Required
45,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910048,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,12,M12-,0,2,林明憲,,Required
46,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910049,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,16,M12-,0,2,蔡宗憲,,Required
47,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910050,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,15,M12-,0,2,李宜珊,,Required
48,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910051,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,19,M12-,0,2,林永慶,,Required
49,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910052,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,30,M12-,0,2,鄭紹宏,,Required
50,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910053,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,29,M12-,0,2,瞿忠正,,Required
51,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910054,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,25,M12-,0,2,葉昭南,,Required
52,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910055,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,18,M12-,0,2,朱子文,,Required
53,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910056,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,11,M12-,0,2,陳冠宇,,Required
54,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910057,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,13,M12-,0,2,羅明忠,,Required
55,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910058,SESE00065,,"Tutor Guidance(7)
",導師輔導(7),Unlimited,11,M12-,0,2,林聰穎,,Required
56,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910059,SESE10171,,"Physical Education(7)
",體育(7),Unlimited,73,W12-,0,2,系統工程,,Required
57,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910060,SESE10171,,"Physical Education(7)
",體育(7),Unlimited,75,R12-,0,2,系統工程,,Required
58,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910061,SESE10037,,"Calculus (1)
",微積分(1),Unlimited,26,M34W12-,4,4,蘇承芳,,Required
59,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910062,SESE10051,,"General Chemistry
",普通化學,Unlimited,26,F234-,3,3,裘性天,,Required
60,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910063,SESE20074,,"Machine Learning
",機器學習,Unlimited,7,M3F12-,3,3,系統工程,,Elective
61,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910064,SESE20073,,"Capstone
",專題實作,Unlimited,60,S567-,0,3,系統工程,,Elective
62,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910065,SESE00063,,"Physical Education(5)
",體育(5),Unlimited,14,R34-,0,2,系統工程,,Required
63,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910066,SESE00002,,"Intermediate English(1)
",中級英文(1),Unlimited,23,T34-,2,2,系統工程,,Elective
64,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910067,SESE10146,,"Military Ethics
",軍事倫理學,Unlimited,30,T56-,2,2,系統工程,,Required
65,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910068,SESE10009,,"Introdution to Philosophy
",哲學概論,Unlimited,30,T78-,2,2,系統工程,,Required
66,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910069,SESE10186,,"Physical Education
",體育,Unlimited,19,T78-,0,2,系統工程,,Required
67,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910070,SESE10009,,"Introdution to Philosophy
",哲學概論,Unlimited,26,T56-,2,2,系統工程,,Required
68,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910071,SESE10146,,"Military Ethics
",軍事倫理學,Unlimited,26,T78-,2,2,系統工程,,Required
69,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910072,SESE00047,,"Analysis and Appreciation of the Science Fiction
",科幻文學賞析  ,Unlimited,29,R34-,2,2,系統工程,,Elective
70,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910073,SESE10198,,"Project of Information Security(3)
",資訊安全專題實作(3),Unlimited,9,M567-,1,3,賴泰宏,,Required
71,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910074,SESE00047,,"Analysis and Appreciation of the Science Fiction
",科幻文學賞析  ,Unlimited,30,R56-,2,2,系統工程,,Elective
72,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910075,SESE00002,,"Intermediate English(1)
",中級英文(1),Unlimited,22,W12-,2,2,系統工程,,Elective
73,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910076,SESE00063,,"Physical Education(5)
",體育(5),Unlimited,34,W34-,0,2,系統工程,,Required
74,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910077,SESE00068,,"Computer Networks Practice(1)
",電腦網路專題實作(1),Unlimited,4,M567-,1,3,系統工程,,Required
75,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910078,SESE00069,,"Introduction to Information Warfare
",資訊戰概論,Unlimited,42,T567-,3,3,系統工程,,Elective
76,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910079,SESE10186,,"Physical Education
",體育,Unlimited,15,W78-,0,2,系統工程,,Required
77,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910080,SESE00041,,"French(1)
",法文(一)  ,Unlimited,19,R12-,2,2,系統工程,,Elective
78,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910081,SESE00002,,"Intermediate English(1)
",中級英文(1),Unlimited,24,T12-,2,2,系統工程,,Elective
79,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910082,SESE10146,,"Military Ethics
",軍事倫理學,Unlimited,34,W12-,2,2,系統工程,,Required
80,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910083,SESE20054,,"Database Systems
",資料庫系統,Unlimited,22,W9ab-,3,3,劉芳萍,,Required
81,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910084,SESE10009,,"Introdution to Philosophy
",哲學概論,Unlimited,34,W56-,2,2,系統工程,,Required
82,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910085,SESE00077,,"Networks Defense Practice(3)
",網路攻防專題實作(3),Unlimited,4,M567-,1,3,羅嘉寧,,Required
83,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910086,SESE00070,,"Web Security and Penetration test
",網頁安全與滲透測試,Unlimited,7,W9ab-,3,3,陳佑全,,Elective
84,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910087,SESE10112,,"Networks Defense Practice(I)
",網路攻防專題實作(1),Unlimited,6,M567-,1,3,羅嘉寧,,Required
85,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910088,SESE00071,,"Modeling, Simulation, and Wargame
",模式模擬與兵棋,Unlimited,6,W234-,3,3,系統工程,,Elective
86,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910089,SESE20047,,"Network Security
",網路安全,Unlimited,15,M34T2-,3,3,羅嘉寧,,Required
87,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910090,SESE00072,,"Network Programming
",網路程式設計,Unlimited,8,T9ab-,3,3,劉中宇,,Elective
88,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910091,SESE00078,,"System Security Practice(3)
",系統安全專題實作(3),Unlimited,3,M567-,1,3,系統工程,,Required
89,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910092,SESE00073,,"Programming Design Practice (1)
",程式設計實習(1),Unlimited,32,W567-,3,3,周兆龍,,Elective
90,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910093,SESE10009,,"Introdution to Philosophy
",哲學概論,Unlimited,24,T12-,2,2,系統工程,,Required
91,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910094,SESE10041,,"Psychology
",心理學,Unlimited,24,T34-,2,2,系統工程,,Required
92,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910095,SESE10001,,"C4ISR System Practice(I)
",C4ISR 系統專題實作(1),Unlimited,4,M567-,1,3,劉中宇,,Required
93,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910096,SESE00002,,"Intermediate English(1)
",中級英文(1),Unlimited,32,F34-,2,2,系統工程,,Elective
94,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910097,SESE10041,,"Psychology
",心理學,Unlimited,25,T12-,2,2,系統工程,,Required
95,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910098,SESE10009,,"Introdution to Philosophy
",哲學概論,Unlimited,25,T34-,2,2,系統工程,,Required
96,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910099,SESE10138,,"Database Practice(I)
",資料庫專題實作(1),Unlimited,4,M567-,1,3,劉芳萍,,Required
97,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910101,SESE10136,,"Information System Practice(I)
",資訊系統工程專題實作(1),Unlimited,3,M567-,1,3,羅序仁,,Required
98,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910102,SESE10041,,"Psychology
",心理學,Unlimited,24,R12-,2,2,系統工程,,Required
99,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910103,SESE10146,,"Military Ethics
",軍事倫理學,Unlimited,24,R34-,2,2,系統工程,,Required
100,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910104,SESE00002,,"Intermediate English(1)
",中級英文(1),Unlimited,34,F12-,2,2,系統工程,,Elective
101,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910105,SESE10017,,"Multimedia Design Practice(I)
",多媒體設計專題實作(1),Unlimited,4,M567-,1,3,蔡宗憲,,Required
102,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910106,SESE10146,,"Military Ethics
",軍事倫理學,Unlimited,29,R12-,2,2,系統工程,,Required
103,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910107,SESE10041,,"Psychology
",心理學,Unlimited,16,R34-,2,2,系統工程,,Required
104,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910108,SESE10153,,"Discrete Mathematics
",離散數學,Unlimited,21,M3T34-,3,3,王順吉,,Required
105,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910109,SESE10099,,"IoT System Practice(I)
",物聯網系統專題實作(1),Unlimited,7,M567-,1,3,楊婷婷,,Required
106,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910110,SESE10137,,"Data Structure
",資料結構,Unlimited,21,M4T56-,3,3,周兆龍,,Required
107,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910111,SESE10057,,"General Physics Lab.(1)
",普通物理實驗 (1),Unlimited,22,M34-,2,2,宋易哲,,Required
108,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910112,SESE10050,,"Digital Circuit Design
",數位電路設計,Unlimited,21,M9ab-,3,3,陳丙堃,,Required
109,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910113,SESE00018,,"Studies on Mainland China
",大陸問題研究,Unlimited,25,T567-,3,3,系統工程,,Required
110,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910114,SESE10114,,"Network Technology and Practice(1)
",網路技術與實務1,Unlimited,21,R123-,3,3,張凱威、曾建超,,Required
111,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910115,SESE20002,,"Introduction to Op;erating Systems
",作業系統概論,Unlimited,19,F123-,3,3,楊婷婷,,Required
112,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910116,SESE10100,,"Object Oriented Programming
",物件導向程式設計,Unlimited,21,R456-,3,3,陳丙堃,,Required
113,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910118,SESE00059,,"Physical Education(1)
",體育(1),Unlimited,23,W56-,0,2,系統工程,,Required
114,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910119,SESE10134,,"Introduction to Information Science
",資訊科學概論,Unlimited,27,M34-,2,2,張凱威,,Required
115,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910120,SESE00059,,"Physical Education(1)
",體育(1),Unlimited,26,T56-,0,2,系統工程,,Required
116,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910121,SESE00059,,"Physical Education(1)
",體育(1),Unlimited,22,W56-,0,2,系統工程,,Required
117,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910122,SESE10134,,"Introduction to Information Science
",資訊科學概論,Unlimited,26,M8W4-,2,2,張凱威,,Required
118,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910123,SESE20002,,"Introduction to Op;erating Systems
",作業系統概論,Unlimited,17,T1R12-,3,3,楊婷婷,,Required
119,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910124,SESE10134,,"Introduction to Information Science
",資訊科學概論,Unlimited,40,W12-,2,2,張凱威,,Required
120,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910125,SESE10185,,"Ethics in Engineering
",工程倫理,Unlimited,29,F34-,2,2,劉思遠,,Required
121,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910126,SESE10130,,"Introduction to Information Security
",資訊安全,Unlimited,34,W234-,3,3,賴泰宏,,Elective
122,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910127,SESE10134,,"Introduction to Information Science
",資訊科學概論,Unlimited,31,M5W8-,2,2,張凱威,,Required
123,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910128,SESE10134,,"Introduction to Information Science
",資訊科學概論,Unlimited,10,M8W8-,2,2,張凱威,,Required
124,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910129,SESE10016,,"Elementary Number Theory
",基礎數論,Unlimited,40,W567-,3,3,張仁煦,,Elective
125,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910131,SESE10100,,"Object Oriented Programming
",物件導向程式設計,Unlimited,25,T9ab-,3,3,陳丙堃,,Required
126,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910132,SESE00001,,"Chinese Modern History
",中國現代史(含國軍建軍史),Unlimited,32,T567-,3,3,系統工程,,Required
127,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910133,SESE10050,,"Digital Circuit Design
",數位電路設計,Unlimited,20,R9ab-,3,3,陳丙堃,,Required
128,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910134,SESE00061,,"Physical Education(3)
",體育(3),Unlimited,36,M34-,0,2,系統工程,,Required
129,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910135,SESE00001,,"Chinese Modern History
",中國現代史(含國軍建軍史),Unlimited,36,W234-,3,3,系統工程,,Required
130,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910136,SESE00061,,"Physical Education(3)
",體育(3),Unlimited,18,T34-,0,2,系統工程,,Required
131,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910137,SESE00001,,"Chinese Modern History
",中國現代史(含國軍建軍史),Unlimited,30,M567-,3,3,系統工程,,Required
132,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910138,SESE00061,,"Physical Education(3)
",體育(3),Unlimited,40,T12-,0,2,系統工程,,Required
133,111 Fall Semester,Faculty of System Engineering,SET(Undergraduate Degree Program of System Engineering and Technology),910139,SESE00018,,"Studies on Mainland China
",大陸問題研究,Unlimited,26,M567-,3,3,系統工程,,Required
