semester,course_id,course_code,memo,name,chinese_name,limit,reg_num,time,credit,hours,lecturer, type,type,summary
1111.0,515601.0,CSCS20002,"外系生請於開學上網加選；資工系與電資學士班學生優先選課；上課教室：EC315、EC316；主開1年級；[另外1小時(第3節)以非同步上課方式; the third period of class will be held asynchronously],開放校際選修","LabVIEW Programming Language
[COE,CI] GECIDAST",LabVIEW 程式語言,70,82,"F34-EC315[GF],F34-EC316[GF]",3.0,3.0,蕭子健,,2,
1111.0,510000.0,EEAE00002,電機院級(學)。基本素養-組織管理/博雅選修通識/通識校基本。 1.限大一、大二同學選修 、2.上課地點：李大嵩老師(T56-ED303)，方凱田老師(T56-ED525)、3.欲加選此課程請EMAIL:yujucheng@nycu.edu.tw，並告知三班志願序，以及修課原因。,"Global Engineering Leadership Cultivation and Discovery
Optional Liberal EducationFCOMGECL",全球工程領袖培育及探索系列,40,38,"T56-ED303[GF],T56-ED525[GF]",2.0,2.0,李大嵩、方凱田,,2,
1111.0,510001.0,EEAE00002,電機院級(學)基本素養-組織管理/通識校基本/博雅選修通識 1.限大一、大二同學選修2.上課地點：邱一老師(W34-工五EE208)；田仲豪老師(W34-交映樓CY202)、3.3.欲加選此課程請EMAIL:yujucheng@nycu.edu.tw，並告知三班志願序，以及修課原因。,"Global Engineering Leadership Cultivation and Discovery
Optional Liberal EducationFCOMGECL",全球工程領袖培育及探索系列,40,40,"W34-CY202[GF],W34-EE208[GF]",2.0,2.0,邱一、田仲豪,,2,
1111.0,510002.0,EEAE00002,電機院級(學)。通識校基本/博雅選修通識/基本素養-組織管理。 1.限大一、大二同學選修2.上課地點：蔡嘉明老師(W34-ED101)；桑梓賢老師(W34-ED303)、3.欲加選此課程請EMAIL:yujucheng@nycu.edu.tw，並告知三班志願序，以及修課原因。,"Global Engineering Leadership Cultivation and Discovery
Optional Liberal EducationFCOMGECL",全球工程領袖培育及探索系列,40,38,"W34-ED101[GF],W34-ED303[GF]",2.0,2.0,蔡嘉明、桑梓賢,,2,
1111.0,510003.0,EEAE00004,電機院級(學) 核心通識-社會與經濟/通識核心/通識跨院/通識校基本/基本素養-量性推理 1.電機學院大三、大四優先 2.電機學院學生可列為跨院基本素養通識課程 。 應數.傳科系及管理學院不同意所屬學生採計通識學分,"Statistics
FCQRGECLGEC[ECE,CCS,COE,CI] GECI",統計學,100,100,M56R2-AB102[GF],3.0,3.0,彭南夫,,2,
1111.0,510004.0,EEAE00004,電機院級(學) (院級課程)通識校基本/基本素養-量性推理/通識核心/通識跨院/核心通識-社會與經濟 1.電機學院大三、大四優先 2.電機學院學生可列為跨院基本素養通識課程。應數.傳科系及管理學院不同意所屬學生採計通識學分,"Statistics
FCQRGECLGEC[ECE,CCS,COE,CI] GECI",統計學,100,100,M56R2-AB101[GF],3.0,3.0,陳志榮,,2,
1111.0,510005.0,EEEC10019,電機院級(學) 電機學院學生可列為跨院基本素養通識課程,"Modern Biology (I)
[ECE] GECIDAST",近代生物學 (一),60,60,T2F34-EE105[GF],3.0,3.0,梁美智、黃植懋、高智飛,,2,
1111.0,516001.0,ENPN10008,奈米組必修／上課教室：工程五館548室,"General Biology
GECLGEC[COE,CHK,CI] GECIDAST",普通生物學,27,27,M567-,3.0,3.0,鄒協成、莊碧簪、梁美智,,1,
1111.0,516122.0,ENME20007,(太空學程) 開3/4年級,"Space Science & Technology Applications
Science, Technology and Society[CBT] GECIDAST",太空科技應用,130,130,Mab-CS100[GF],2.0,2.0,方振洲,,2,
1111.0,516126.0,ENME20019,核心選修課程/ 開3/4年級,"Energy Technology
Science, Technology and Society[ECE,CCS,COM,CBT] GECIDAST",能源科技,105,107,Rabc-EE106[GF],3.0,3.0,陳慶耀,,2,
1111.0,516220.0,ENCV20016,,"Engineering Statistics
[ECE,CCS,COS] GECI",工程統計學,100,90,M234-EB117[GF],3.0,3.0,趙韋安,,2,
1111.0,516225.0,ENCV10015,,"Hydrology
Science, Technology and Society[ECE,CCS,CBT] GECIDAST",水文學,45,57,T7F34-EB118[GF],3.0,3.0,張良正,,1,
1111.0,516226.0,ENCV10015,[English Medium Course],"Hydrology
Science, Technology and Society[ECE,CCS,CBT] GECIDASTENG",水文學,45,22,T7F34-EB108[GF],3.0,3.0,楊尊華,,1,
1111.0,516304.0,ENMS10019,,"Introduction to Materials Science and Engineering (I)
GECLDAST",材料科學與工程導論 (一),80,85,R2F34-EF201[GF],3.0,3.0,陳智,,1,
1111.0,516317.0,ENMS10020,[English Medium Course],"Introduction to Materials Science and Engineering (I)
GECLDASTENG",材料科學與工程導論(一)(英文班),Unlimited,28,R2F34-SC204[GF],3.0,3.0,Winny Dong,,1,
1111.0,516502.0,SCDP10005,理學院科學學士學位學程班學生優先。人數上限：60 人,"General Biology(I)
GECLGEC[COS,CHK] GECIDAST",普通生物學(一),120,126,Wn56-SA321[GF],3.0,3.0,莊碧簪,,1,
1111.0,516611.0,SCEP00009,,"Service Learning II
GECLDASC",服務學習二:物理科普教育推廣,111,109,R56-SC106[GF],2.0,2.0,張文豪,,1,
1111.0,516613.0,SCEP10011,遠距課程,"Logic Design
[COE,CI] GECIDL",邏輯設計,75,75,F56-SC158[GF],3.0,3.0,趙天生,,2,
1111.0,517304.0,MGMS10001,1.開放全校大三大四學生選修。,"Strategic Management
FCOMSociety and EconomyGECL[ECE,CCS,COE,COS,CBT,CHS,CI] GECI",策略管理,50,54,T567-M205[GF],3.0,3.0,黃瓊誼,,2,
1111.0,517100.0,MGCM10018,管院管理基礎課程；主開大二資財系；上限100人，資財系大二、管科系大二必修；管院學生優先選課；輔開管理學院、管科系、工管系、運管系；工管系學生需自下列五門課(財務管理、行銷學、人力資源管理、管理資訊系統、物流運籌管理)任選一門為必修。運管系學生需自下列六門課(財務管理、行銷學、人力資源管理、管理資訊系統、資料庫管理、生產與作業管理)任選二門為必修。本學期本課程限管院學生選課。,"Financial Management
[ECE,CCS,COE,COS,CBT,CHS,CHK,CI] GECI",財務管理,100,120,T567-M-b10[GF],3.0,3.0,黃宜侯,,1,
1111.0,519509.0,XDAP00008,,"The Power of Rules: How Could Rules Make the World?
Optional Liberal EducationGECLDACE",規則的力量:規則如何構成世界?,50,57,F34-SC162[GF],2.0,2.0,程源中,,2,
1111.0,519510.0,XDAP00001,,"The Basics of Inquiry and Research of the Arete Honors Program: From Topic
Optional Liberal EducationFCCTGECL",專題探索的基本功-從選題到上台,Unlimited,42,T789-SC160[GF],3.0,3.0,安勤之,,2,
1111.0,519511.0,XDAP00003,,"The Most Special Right? An Introduction to Freedom of Speech
GECDACE",最特殊的權利？言論自由初探,50,66,R567-SC162[GF],3.0,3.0,程源中,,2,
1111.0,111002.0,NSDN10024,,"You can see, find and use the service of long term care
Optional Liberal EducationDASC",看得到、找得到、用得到,40,40,F56-YN418[YM],2.0,2.0,楊曼華、黃淑鶴、高蕭國帆、陳妙言、林昱宏、楊舒琴、王菀宣、葉又菁、林俐岑、賴鼎璁、柯澐蓁、楊桂鳳,,1,
1111.0,161000.0,GECE00122,,"Digital Well-being
Optional Liberal EducationGECLDAST",數位安康,0,8,Myz-,2.0,2.0,蔡敦仁、侯君昊,,3,
1111.0,161001.0,GECE00165,本課程為線上課程，全英語授課，為維持教學品質，限制修課人數。[English Medium Course],"Critical and Creative Thinking
FCCTPhilosophy and MindGECLENG",批判與創意思考,0,36,M56-,2.0,2.0,林映彤、顧醫華、嚴如玉、嚴偉哲、楊元傑,,3,
1111.0,161002.0,GECE00165,本課程為線上課程，全英語授課，為維持教學品質，限制修課人數。[English Medium Course],"Critical and Creative Thinking
FCCTPhilosophy and MindGECLENG",批判與創意思考,0,39,M9a-,2.0,2.0,嚴如玉、顧醫華、嚴偉哲、林映彤、楊元傑,,3,
1111.0,161003.0,GECE00165,本課程為線上課程，全英語授課，為維持教學品質，限制修課人數。[English Medium Course],"Critical and Creative Thinking
FCCTPhilosophy and MindGECLENG",批判與創意思考,0,38,T9a-,2.0,2.0,楊元傑、顧醫華、嚴如玉、嚴偉哲、林映彤,,3,
1111.0,161004.0,GECE00165,本課程為線上課程，全英語授課，為維持教學品質，限制修課人數。 [English Medium Course],"Critical and Creative Thinking
FCCTPhilosophy and MindGECLENG",批判與創意思考,0,40,R9a-,2.0,2.0,嚴偉哲、顧醫華、嚴如玉、林映彤、楊元傑,,3,
1111.0,161005.0,GECE00165,本課程為線上課程，全英語授課，為維持教學品質，限制修課人數。[English Medium Course],"Critical and Creative Thinking
FCCTPhilosophy and MindGECLENG",批判與創意思考,0,42,F56-,2.0,2.0,顧醫華、嚴如玉、嚴偉哲、林映彤、楊元傑,,3,
1111.0,161006.0,GECE00167,,"Selected Classical Love Poetry
Chinese LiteratureGECDAHA",古典情詩選讀,20,4,T12-YX202[YM],2.0,2.0,王小滕,,3,
1111.0,161007.0,GECE00059,,"History and the Modern World
History and CivilizationsGECLDASC",歷史與現代世界,40,36,T12-YT104[YM],2.0,2.0,王文基,,3,
1111.0,161008.0,GECE00169,,"Japanese Occupation of Taiwan Literature and Gender Issues
Optional Liberal EducationGECLDACE",日治時期臺灣文學與性別問題,30,30,T12-YT304[YM],2.0,2.0,王敬翔,,3,
1111.0,161009.0,GECE00075,,"Economics
FCQRSociety and EconomyGEC",經濟學,60,72,T12-YT305[YM],2.0,2.0,周穎政、蒲正筠、梁立霖,,3,
1111.0,161010.0,GECE00079,,"The History of Western Classical Music
Art and CulturesGECDAHA",西洋古典音樂史,40,33,T12-YX502[YM],2.0,2.0,林伶美,,3,
1111.0,161011.0,GECE00006,,"introduction to cognitive neuroscience and its methodology
Philosophy and MindGECLDAST",人腦心智運作與歷程,40,44,T12-YL402[YM],2.0,2.0,郭文瑞,,3,
1111.0,161012.0,GECE00008,,"Health Psychology and Stress Copings
FCLCPhilosophy and MindGECL",健康心理與壓力因應,0,68,T12-YT202[YM],2.0,2.0,程千芳,,3,
1111.0,161013.0,GECE00089,,"Logic
FCCTPhilosophy and MindGEC",邏輯學,40,43,T12-YT206[YM],2.0,2.0,劉吉宴,,3,
1111.0,161014.0,GECE00064,,"Environment, Economy and Society
Society and EconomyGECLDASC",環境﹑經濟與社會,40,16,T12-YT205[YM],2.0,2.0,錢克綱,,3,
1111.0,161015.0,GECE00170,,"Contemporary Songs and Life
Optional Liberal EducationGECLDAHA",當代歌曲與人生,33,32,T12-YT303[YM],2.0,2.0,楊芮芳,,3,
1111.0,161016.0,GECE00168,[English Medium Course],"A New Account of Human History
Science, Technology and SocietyGECDASCENG",人類的歷史,40,1,T12-YX503[YM],2.0,2.0,霍弘毅,,3,
1111.0,161017.0,GECE00146,,"Lao-Zi
FCLCChinese LiteratureGEC",老子導讀,20,4,T34-YX202[YM],2.0,2.0,王小滕,,3,
1111.0,161018.0,GECE00126,,"Introduction to intellectual property right
Optional Liberal EducationGECLDACE",智慧財產權導論,30,30,T34-YT206[YM],2.0,2.0,王世仁,,3,
1111.0,161019.0,GECE00117,,"Drama Music: Lives and Love
Optional Liberal EducationGECLDAHA",戲劇音樂：生命與愛情,30,10,T34-YX502[YM],2.0,2.0,林伶美,,3,
1111.0,161020.0,GECE00131,,"Comparison of Eastern & Western Natural Philosophy and View of Ancient Medicine
Optional Liberal EducationGECLDAST",比較東西方自然哲學與古醫學觀,60,60,T34-YT202[YM],2.0,2.0,陳方佩,,3,
1111.0,161021.0,GECE00129,,"Readings in Tz’u and Ch’u
Chinese LiteratureGECDAHA",歷代詞曲選,30,30,T34-YT303[YM],2.0,2.0,楊芮芳,,3,
1111.0,161023.0,GECE00135,,"Law & Life
Optional Liberal EducationGECDACE",法律與人生,32,32,T34-YT103[YM],2.0,2.0,劉俊良,,3,
1111.0,161024.0,GECE00117,,"Drama Music: Lives and Love
Optional Liberal EducationGECLDAHA",戲劇音樂：生命與愛情,30,28,R12-YX502[YM],2.0,2.0,林伶美,,3,
1111.0,161025.0,GECE00127,,"State Economics, Societies and Culture in Southeast Asia
Optional Liberal EducationGECLDASC",東南亞各國經濟、社會與文化,30,29,R12-YT205[YM],2.0,2.0,林若雩,,3,
1111.0,161026.0,GECE00173,,"World Civilization
Optional Liberal EducationGECDASC",世界文明,30,11,R12-YT104[YM],2.0,2.0,洪德先,,3,
1111.0,161027.0,GECE00124,,"Technology and Everyday Life
Optional Liberal EducationGECLDAST",日常生活、科技與社會,30,30,R12-YT302[YM],2.0,2.0,秦先玉,,3,
1111.0,161028.0,GECE00149,,"Introduction to Taiwan Politics
Optional Liberal EducationGECLDASC",臺灣政治概論,30,25,R12-YT206[YM],2.0,2.0,彭立忠,,3,
1111.0,161029.0,GECE00115,,"Psychology and Life
Optional Liberal EducationFCLC",心理與生活,40,44,R12-YT202[YM],2.0,2.0,程千芳,,3,
1111.0,161030.0,GECE00142,,"Multidisciplinary Research in Science and Philosophy: Philosophy of Molecular Biology
Optional Liberal EducationGECLDACE",科學與哲學跨領域研究：分子生物學的哲學,30,37,R12-YT304[YM],2.0,2.0,蔡有光、鄭凱元,,3,
1111.0,161031.0,GECE00162,,"Palliative Medicine
Optional Liberal EducationGECLDAST",面對治不好的病—生命末期照顧的醫學,30,30,R12-YT103[YM],2.0,2.0,賴允亮,,3,
1111.0,161032.0,GECE00146,,"Lao-Zi
FCLCChinese LiteratureGEC",老子導讀,20,14,R34-YX202[YM],2.0,2.0,王小滕,,3,
1111.0,161033.0,GECE00175,[English Medium Course],"Neuroethics
Ethics and Moral thinkingGECLDACEENG",神經倫理學,40,12,R34-YT205[YM],2.0,2.0,艾力,,3,
1111.0,161034.0,GECE00091,,"Musical Syntax and Expression
Art and CulturesGECLDAHA",音樂語言與表達,40,39,R34-YX502[YM],2.0,2.0,林伶美,,3,
1111.0,161035.0,GECE00082,,"Morality and Human Cognition
Ethics and Moral thinkingGECLDACE",認知與道德思考,41,41,R34-YX503[YM],2.0,2.0,張立鴻,,3,
1111.0,161036.0,GECE00184,[English Medium Course],"Philosophy of Mind and Cognition
FCCTPhilosophy and MindGECLENG",心智哲學,40,22,R34-YT206[YM],2.0,2.0,游尚愷,,3,
1111.0,161037.0,GECE00078,,"Western Art History
Art and CulturesGECDAHA",西洋藝術史,40,15,R34-YX501[YM],2.0,2.0,黃桂瑩,,3,
1111.0,161038.0,GECE00075,,"Economics
FCQRSociety and EconomyGEC",經濟學,60,91,R34-YT305[YM],2.0,2.0,蒲正筠、周穎政、梁立霖,,3,
1111.0,161039.0,GECE00003,,"Chinese and Western Comparative Philosophies
FCCTPhilosophy and MindGEC",中西比較哲學,40,49,R34-YT304[YM],2.0,2.0,鄭凱元,,3,
1111.0,161040.0,GECE00156,,"Zhuangzi
FCLCChinese LiteratureGEC",莊子導讀,20,10,R56-YX202[YM],2.0,2.0,王小滕,,3,
1111.0,161041.0,GECE00002,,"Art of China
Art and CulturesGECDAHAENG",中國藝術,35,7,R56-YT205[YM],2.0,2.0,朱靜華,,3,
1111.0,161042.0,GECE00185,,"Governance for Sustenbility
FCOMScience, Technology and SocietyGECL",永續治理,40,40,R56-YT202[YM],2.0,2.0,李河清,,3,
1111.0,161043.0,GECE00057,,"A Modern History of East-asia
History and CivilizationsGECLDASC",東亞近現代史,35,8,R56-YT104[YM],2.0,2.0,嚴曉珮,,3,
1111.0,161044.0,GECE00179,1.中央研究院人文講座課程，中國文哲研究所何乏筆研究員主持授課。2.1111學期因應疫情採行線上教學。,"Critical Thinking in the Laozi
FCCTPhilosophy and MindGEC",老子的批判思考,40,41,R56-,2.0,2.0,何乏筆,,3,
1111.0,161045.0,GECE00182,1.中央研究院人文講座課程，近代史研究所張哲嘉副研究員主持授課。2.1111學期因應疫情採行線上教學。,"Materia Medica and Material Culture
Science, Technology and SocietyGECLDAST",本草學與物質文化,35,33,R56-,2.0,2.0,張哲嘉,,3,
1111.0,161046.0,GECE00183,1.中央研究院人文講座課程，中國文哲研究所楊貞德副研究員主持授課。2.1111學期因應疫情採行線上教學。,"Liberty and Morality
Ethics and Moral thinkingGECDACE",自由與道德,35,36,R56-,2.0,2.0,楊貞德,,3,
1111.0,161047.0,GECE00186,陽交大、政大、北藝大三校教務學術合作博雅教育課程,"Cross-Disciplinary GE Course： Things We Learned from Animals
FCLCEthics and Moral thinkingGECL",跨領域通識課：那些動物教我的事,35,37,"R78-EE129[GF],R78-YT305[YM]",2.0,2.0,勞維俊、郭文瑞、李怡萱、鄭凱元、俞震亞、嚴如玉、曲在雯、廖文霖、魏雋展,,3,
1111.0,161048.0,GECE00084,1.中央研究院人文講座課程，經濟研究所黃登興研究員主持授課。2.1111學期因應疫情採行線上教學。,"Trade and World Economy
Society and EconomyGECLDASC",貿易與世界經濟,35,53,R78-,2.0,2.0,黃登興,,3,
1111.0,161049.0,GECE00178,1.中央研究院人文講座課程，中國文哲研究所楊小濱研究員主持授課。2.1111學期因應疫情採行線上教學。,"Appreciation and Analysis of Taiwan Art Cinema
Art and CulturesGECLDAHA",臺灣藝術電影賞析,35,32,R78-,2.0,2.0,楊小濱,,3,
1111.0,161050.0,GECE00181,1.中央研究院人文講座課程，近代史研究所潘光哲研究員主持授課。2.1111學期因應疫情採行線上教學。,"An Intellectual History of Postwar Taiwan
History and CivilizationsGECLDASC",戰後臺灣思想與人物,35,35,R78-,2.0,2.0,潘光哲,,3,
1111.0,161051.0,GECE00164,,"Freedom and mind manipulation
FCCTPhilosophy and MindGECL",心智自由與操控,24,24,M9a-YX406[YM],2.0,2.0,林映彤,,3,
